link,content
https://www.investing.com/news/economy-news/us-banks-tumble-as-weak-economic-data-sparks-recession-fears-3555240,"By Manya Saini and Saeed Azhar (Reuters) -U.S. bank stocks slumped on Monday as fears of a recession sent investors fleeing from a sector closely tied to the health of the economy and toward safe-haven assets. The Banks Index, tracking a basket of large-cap bank stocks, was last down 2.4%, while the KBW Regional Banking Index fell 3.1%. Citigroup led big bank losses with a nearly 4% fall. JPMorgan Chase (NYSE: ) and Bank of America declined 2.2% and 2.7%, respectively. Goldman Sachs dropped 2.7%. Lenders typically feel the squeeze as recessions heighten concerns over credit losses due to higher unemployment, while loan demand - a key factor in profitability - also takes a beating. ""The economy is potentially slowing more than people appreciated, based on last week's economic data, that first and foremost is the biggest driver as it impacts loan growth, income growth, credit quality,"" said Jason Goldberg, banking analyst at Barclays. Investors have been jittery since a crisis of confidence hit the sector last year, in part due to higher interest rates, and took down three major regional players. Among regional banks, Customers Bancorp (NYSE: )'s shares fell nearly 4.6%, while Huntington Bancshares (NASDAQ: ) dropped 3.4%. ""This market volatility, coupled with potential liquidity dislocation, could pose significant challenges for banks, especially in managing funding and liquidity risks,"" said rating agency Moody's (NYSE: ) banking analyst Laurent Birade. The U.S. unemployment rate jumped to a near three-year high of 4.3% in July amid a significant slowdown in hiring, heightening fears the labor market was deteriorating and potentially making the economy vulnerable to a recession. ""It's very normal, especially with interest rates having gone up as much as they have and you're seeing that weakness in the commercial real estate market, to see credit losses normalizing,"" said Erika Najarian, analyst at UBS. ""The jobs print is essentially saying things are not as awesome as they were, they're not saying that things are terrible."" The economic weakness will likely seep into the sector's outlook after a mixed sector-quarter earnings season, where executives from top U.S. banks remained divided over the Fed's future path on interest rate cuts and flagged deterioration in consumer health. ""This may be a few-day blip. I don't think anybody's ready to call this the beginning of a several-quarter downturn in the markets or the economy,"" said Stephen Biggar, banking analyst at Argus Research. ""High rates have kind of worn out their welcome, and at this point, lower rates would stimulate loan growth, and would also take some of the pressure off the deposit costs, and at the same time, help the economy avoid a downturn or recession,"" he added. The S&P 500 Banks Index is down 9.5% month-to-date, compared with a 6.3% decline in the benchmark S&P 500. The KBW Regional Banking Index has lost about 10% over the same period."
https://www.investing.com/news/economy-news/analysisglobal-market-rout-has-more-to-do-with-end-of-cheap-funding-than-us-economy-3555218,"By Nell Mackenzie and Yoruk Bahceli LONDON (Reuters) - A meltdown in world equity markets in recent days is more reflective of a wind-down of carry trades used by investors to juice their bets than a hard and fast shift in the U.S. economic outlook, analysts say. While Friday's weaker-than-expected U.S. jobs data was the catalyst for the market sell-off, with Japan's blue-chip index on Monday suffering its biggest one-day rout since the 1987 Black Monday selloff, the employment report alone wasn't weak enough to be the main driver of such violent moves, they added. Instead, the answer likely lies in a further sharp position unwind of carry trades, where investors have borrowed money from economies with low interest rates such as Japan or Switzerland, to fund investments in higher-yielding assets elsewhere. They have been caught out as the Japanese yen has rallied by more than 11% against the dollar from 38-year lows hit just a month ago. ""In our assessment a lot of this (market sell-off) has been down to position capitulation as a number of macro funds have been caught the wrong way around on a trade, and stops have been triggered, initially starting with FX and the Japanese yen,"" said Mark Dowding, chief investment officer at BlueBay Asset Management, referring to pre-determined levels that trigger buying or selling. ""We don't see evidence in data that's saying we're looking at a hard landing,"" he added. One Asian-based investor, who asked not to be identified, said that some of the biggest systematic hedge funds that trade in and out of stocks based on signals from algorithms, started selling equities when last week's surprise Bank of Japan rate hike sparked expectations for further tightening. While exact numbers and the specific positioning shifts underlying the moves are hard to come by, analysts suspected that crowded positions in U.S. tech stocks, funded by carry trades, explain why they are suffering the most. By 1423 GMT on Monday, the tech-heavy U.S. Nasdaq stock index was down over 8% so far in August, versus 6% for the broader S&P index. Carry trades, boosted by years of ultra-easy Japanese monetary policy, prompted a boom in cross-border yen borrowing to fund trades elsewhere, ING said. Bank for International Settlements data suggests cross-border yen borrowing has increased by $742 billion since the end of 2021, the bank noted. ""It's a yen-funded carry unwind and Japanese stock unwind,"" said Tim Graf, head of macro strategy for Europe at (NYSE: ) Global Markets. ""Our positioning metrics show investors overweight Japanese stocks. They were underweight yen. They're no longer underweight yen."" Speculators have cut bearish bets against the yen aggressively in recent weeks, bringing the net short position in the yen to $6.01 billion, its smallest since January, down from April's seven-year high of $14.526 billion, most recent weekly data from the U.S. markets regulator shows. ""You can't unwind the biggest carry trade the world has ever seen without breaking a few heads,"" said Societe Generale (OTC: )'s chief currency strategist Kit Juckes. HEDGE FUND PAIN As hedge funds typically fund their bets through borrowing, their adjustments are exacerbating market moves, some investors said. Banks give hedge funds leverage, essentially a loan to fund investing, which amplifies hedge fund returns but can also increase losses. A note sent by Goldman Sachs to clients on Friday showed that gross leverage from Goldman Sachs prime brokerage, or the total amount that hedge funds have borrowed, declined in June and July, but still sits near five-year highs. Last week marked the third consecutive week that hedge funds' bets that stocks will fall outpaced the addition of bets that they will rise, Goldman said in a separate note, saying one long position was added for every 3.3 short bets. It added on Monday that as of the Asian close, Japan-focused hedge funds were down 7.6% in the past three trading sessions. While macro funds may have been involved in currency trades relating to the yen, many stock-trading hedge funds, because of a June short selling ban in South Korea and regulatory headwinds against the same practice in China, had moved focus to Japan, investors said. Analysts added there was room for further short-term pain as positions are unwound, but the market shake-up would be limited. Traders now expect over 120 basis points of U.S. rate cuts by the end of the year, versus around 50 bps at the start of last week, and fully price in a hefty 50 bps September rate cut. Such expectations may be overdone if upcoming data suggests the U.S. economy is likely to avoid a hard landing. ""We think it's really wrong to start fundamentally reassessing your view on the outlook here. Doing so is simply fitting a narrative to match the price action,"" said BlueBay's Dowding."
https://www.investing.com/news/economy-news/banks-loosen-lending-standards-in-q2-fed-survey-shows-3555466,
https://www.investing.com/news/economy-news/us-junk-and-corporate-bond-spreads-surge-in-sign-of-market-fears-3555415,"By Matt Tracy (Reuters) - U.S. junk bond spreads over yields on risk-free Treasuries widened further on Monday, after ending last week with the biggest daily points surge since March 2023, indicating financial markets see much more risk with stocks sharply lower as investors rushed to the safety of U.S. government debt. The ICE/BofA U.S. high yield index option adjusted spread surged 37 basis points to 372 bp as of late Friday. The ICE/Bof A U.S. Investment Grade Corporate Bond Index spread posted its biggest jump since May 2023 and closed at 106 bp. Investors have increasingly turned to the safe haven of Treasuries since last week's employment reports showed job growth slowed more than expected in July and the unemployment rate increased to 4.3% from 4.1% in June. The market sell-off has erased a credit market rally through most of the year, BMO said in a Monday note. But BMO and others said they viewed the spread widening as a correction rather than an early sign of a recession. “We’re seeing a pronounced move wider in IG bond market spreads after being on very stable footing for the entire year,"" said Blair Shwedo, head of fixed income sales and trading at U.S. Bank. ""However, this spread move is not materializing in all-in corporate yields."" Mounting fears of recession have drawn calls for an emergency rate cut from the Federal Reserve. But bond market participants pointed to data on Monday that could quash these fears. For instance, the U.S. services sector rebounded from a four-year low in July while the employment rate in that sector increased for the first time in six months. Some bond investors seemed less worried about the economic data itself than about the nagging stock market sell-off. ""Is this going to be an example of where the equity market impacts the economy through a little wealth destruction?"" said Jack McIntyre, global fixed income portfolio manager at Brandywine Global, an asset manager. Analysts were mixed as to how far corporate bond spreads will widen before topping out. JPMorgan analysts, for example, now expect high-yield bond spreads to widen to 500 bp, rising 120 bp from its previous 380 bp forecast. Demand for new corporate bonds ticked down on Friday following the sell-off, resulting in a spike in concessions offered by issuers going to market. This could dissuade some borrowers from tapping the market, market participants noted, dampening August issuance volume in the near-term. ""There are some people sitting on the sidelines now who think the economy is going to shift to a recession pretty soon,"" said Jeremy Burton, high-yield bond and leveraged loan portfolio manager at asset manager PineBridge Investments. ""Some of the cuspier...issuance is going to slow down in the near-term,"" he added. Burton and others were optimistic that corporate bond market activity will pick up once spreads stabilize given attractive all-in yields. ""Yes, spreads are wider, but if you’re an issuer this is the best deal in two years,"" said U.S. Bank's Shwedo."
https://www.investing.com/news/economy-news/us-doesnt-look-like-its-in-recession-feds-goolsbee-tells-cnbc-3554870,"By Lindsay (NYSE: ) Dunsmuir (Reuters) -U.S. central bank policymakers need to carefully monitor changes in the economy to avoid being too restrictive with interest rates, but there are no signs of a recession despite weaker-than-expected jobs data, Chicago Federal Reserve President Austan Goolsbee said on Monday. ""You only want to be that restrictive if you think there's fear of overheating,"" Goolsbee said in an interview with CNBC. ""These data, to me, do not look like overheating ... as you see jobs numbers come in weaker than expected but not looking yet like recession, I do think you want to be forward-looking at where the economy is headed for (in) making the decisions."" Goolsbee also cautioned against taking too much of a signal from a global stock market sell-off that accelerated on Monday, amid fears the U.S. central bank has waited too long to begin cutting interest rates. The aftermath of the Bank of Japan's decision last week to raise rates, as well as increasing geopolitical tensions in the Middle East, also contributed to the rout. ""The law doesn't say anything about the stock market; it's about the employment and it's about price stability,"" Goolsbee said, citing the Fed's dual goals set by Congress, as he noted how prone financial markets are to volatility. Nonetheless, officials need to be aware of the possibility that markets are signaling a change in the economy's direction, he said. ""If the market moves give us an indication over a long arc that we're looking at a deceleration of growth, then we should react to that,"" Goolsbee said. After he spoke, data showed activity in the vast U.S. services sector rebounded from a four-year low last month, with a measure of services employment rising for the first time since January, although the positive news barely dampened market turmoil. U.S. stocks remained sharply lower, with their recent slide accelerating after Japan's benchmark index suffered its biggest drop since 1987. U.S. indexes, though, were off their lows on Monday after the services sector data. U.S. Treasury yields, meanwhile, plunged as bond prices shot higher in a safe-haven bid. Earlier in the session, the yield on two-year notes had briefly fallen below those for 10-year notes, although that relationship has since returned to the ""inverted"" state that has prevailed for more than two years. The dollar weakened to near its lowest levels of the year against a basket of major trading partner currencies. The U.S. services data ""aligns with our view of an economy in transition rather than one on the brink of collapse,"" said Matthew Martin, a U.S. economist at Oxford Economics. ""Expectations for aggressive rate cuts in September are overdone."" INTER-MEETING CUT The Fed kept its benchmark interest rate unchanged in the current 5.25%-5.50% range last week and signaled it was on course to begin cutting rates in September, but that decision was followed by worrying signs the labor market might already have turned. The number of Americans filing new applications for unemployment benefits increased to an 11-month high while job gains markedly slowed in July and the unemployment rate rose to 4.3%. The data cast doubts on Fed Chair Jerome Powell's assertion directly after the latest policy meeting that the labor market appeared to be normalizing gradually, which would allow the central bank to take a bit more time before cutting rates to ensure inflation was fully quelled. Instead, economists and traders honed in on Powell's other comments that the Fed would respond if there was an unexpected deterioration in the labor market, a sentiment echoed repeatedly by Goolsbee on Monday. Asked about the possibility of an inter-meeting rate cut, Goolsbee said ""everything is always on the table"" from rate increases to cuts as the Fed maintains its focus on employment, inflation and financial stability. ""If the conditions collectively start coming in on the through line that there's deterioration on any of those parts, we're going to fix it,"" Goolsbee said. Investors in contracts tied to the Fed's policy rate are now pricing in an inter-meeting cut before the next policy meeting on Sept. 17-18 and maintained bets the policy rate will end 2024 in the 4.00%-4.25% range. ""The Fed's response will be determined by two factors: the extent to which downside risks to the real economy materialize, and whether the sharp sell-off in financial markets causes something to break,"" said Neil Shearing, group chief economist at Capital Economics. Powell, who has come under a renewed political lens ahead of the U.S. presidential election in November, was given short thrift by Democratic U.S. Senator Elizabeth Warren. ""He's been warned over and over again that waiting too long risks driving the economy into a ditch,"" she said in a post on X following the jobs report on Friday. ""Powell needs to cancel his summer vacation and cut rates now - not wait 6 weeks."""
https://www.investing.com/news/economy-news/are-401k-matching-contributions-all-they-are-cracked-up-to-be-3555374,"(This August 1 story has been corrected to fix the percentage of employer contributions to 40% instead of 58%, in paragraph 5) By Mark Miller (Reuters) - When you are saving for retirement in a 401(k) account, the standard advice is to put aside enough to capture your employer’s matching contribution. That makes sense, since the contribution represents a risk-free 100% return on every dollar you save. The match is intended to be an incentive that encourages saving - but recent research shows there are better ways to get people to sock away their money. In many cases, the current structure of matching programs actually contributes to pay inequity - and they are not the most powerful incentives available to employers. “When we first created an employer match, we thought that was the carrot - the incentive that would get people to participate,” said Fiona Greig, global head of investor research and policy at Vanguard and co-author of a recent research brief on matching contributions. “But now we have a much heavier hammer.” That hammer, she said, includes the rise of plan features like automatic enrollment, auto escalation of contribution rates and higher initial default contribution rates. “These are the things that, without opening your eyes or engaging in any way, cause people to participate and save more over time,” she added. Matching contributions are a big, expensive feature of the 401(k) system. Vanguard notes federal government data showing that employers contributed $212 billion to defined contribution retirement plans in 2021 - about 40% of all dollars in the accounts. Vanguard, one of the nation’s largest administrators of 401(k) plans, evaluated more than 1,300 large retirement plans that the firm administers. The research does not conclude that employers should stop matching employee contributions - far from it. But it did find that employee saving rates do not vary much across plans with different levels of employer matches. More concerning is the finding that employer contributions exacerbate pay inequity. The contributions are highly concentrated, with 44% of dollars accruing to the top 20% of earners. “Higher-income people tend to participate more, and they also tend to contribute more,” said Greig. Indeed, a study by the Center for Retirement Research found that 59% of the tax deferral feature of 401(k) plans benefited the top fifth of earners, compared with just 3.7% for the bottom 40% of earners. The upshot is that employees who do not take full advantage of their employer match effectively get paid less than their peers, who save more, for a variety of reasons. That gap spills over into a broader problem with inequity in retirement security. The U.S. has persistent disparities in savings by race and ethnicity, with Black households holding only 14% as much as white households, and Hispanic households just 20% compared with white households. NEEDED: A BROADER EQUITY MENU There are plenty of opportunities to improve the equity of retirement security in the U.S. outside of the current features of 401(k)s. I would start with an across-the-board expansion of Social Security benefits, with extra bumps for low- and middle-income workers who have the least ability to save for retirement. Improved access to workplace saving plans also could help greatly. Only about half of private-sector U.S. workers are covered by an employer retirement saving plan at any given time - and that figure has not budged much over the years. The lost opportunity to save at the workplace translates into far too many people retiring only on Social Security. Seventeen U.S. states have moved to plug the gap with “auto-IRA” plans that mandate employers who do not offer their own 401(k)s to enroll workers in a government-sponsored plan. Eight of those states - including California, Illinois and Maryland - have launched their savings programs, and some policymakers hope to see the idea expanded nationally. Others have advocated what amounts to a national 401(k) plan featuring a government matching contribution for anyone lacking workplace coverage. Vanguard’s brief points to opportunities to reform the matching-contribution system to make it more equitable. The most common match programs use percentages - for example, 50% of an employee's contributions up to 6% of pay. Some plans contribute regardless of what the employee does. And some have employer contributions up to a dollar cap - for example, a 10% match on 6% of pay but capped at $6,000. But the researchers found little difference in employee contribution rates across various formulas. Other 401(k) plan features do seem to be leading to improved investor behavior. Vanguard’s latest annual report on workplace plan trends found a record-high share of plans offering automatic enrollment, rising employee participation rates and record-high rates of deferral into retirement accounts. And Vanguard is not suggesting that employer matches should be retired - rather, changes should be made that could make the matches more equitable. “These are big dollars being spent, and we think there are some ways that employers can evaluate their plans to make them more equitable and cost-effective.” Plans that pair auto-enrollment with a dollar cap scored highest for equitable treatment of employees, Vanguard found. “Auto-enrollment causes everyone to benefit from the employer match, rather than leaving people to make the choice to not participate at all,” said Greig. “And that is really important in terms of equity.” The opinions expressed here are those of the author, a columnist for Reuters."
https://www.investing.com/news/economy-news/us-interest-rate-futures-price-in-intermeeting-fed-cut-3555342,"By Gertrude Chavez-Dreyfuss NEW YORK (Reuters) - Futures on the Secured Overnight Financing Rate (SOFR) and the Federal funds rate, which measure expectations of Federal Reserve monetary policy moves, on Monday priced in an inter-meeting interest rate cut. The August 2024 SOFR futures have factored in the likelihood that the Fed will cut interest rates by at least 25 basis points (bps) this month. The September futures, on the other hand, have priced in a 100% chance of at least a 50 bps rate reduction. SOFR, a measure of the cost of borrowing cash overnight, was at 5.35% as of late Friday. In fed funds futures, the market has priced in 25 bps easing in August. For 2024, futures have priced in about 122 bps of cuts, scaling down from about 140 bps in cuts seen earlier in the session, according to LSEG calculations. Expectations of an early rate cut by the Fed came after a weaker-than-expected jobs report last Friday that saw a meltdown in stocks and a plunge in U.S. Treasury yields after substantial safe-haven flows. Some market participants, however, were skeptical about a rate move before the Fed's September meeting. ""The Fed is not there to support financial market prices because people are upset with their returns. Their job is to see that markets are functioning properly,"" said Jim Caron, chief investment officer, cross-asset solutions at Morgan Stanley Investment Management. ""When we think about the Fed intervening, the main trigger point is if they believe something wasn’t functioning properly. Unless you see a liquidity market functionality crisis, I don’t see an emergency cut happening."" The next Fed meeting is on Sept. 17-18. U.S. Treasury yields were still down midday on Monday, but had risen from their lows of the day, helped by a bounce in the U.S. services sector index. U.S. services sector activity rebounded from a four-year low in July amid a bounce back in new orders and the first increase in employment in six months. The Institute for Supply Management's (ISM) non-manufacturing purchasing managers (PMI) index increased to 51.4 last month from 48.8 in June, which was the lowest since May 2020. SOFR and fed funds futures did pare back rate cut expectations after the services sector report. Also helping the slight retreat in Fed rate cut views were comments from Chicago Fed President Austan Goolsbee, who is not a voter at this year's Federal Open Market Committee. Goolsbee on Monday cautioned against taking too much signal from a global stock market sell-off that accelerated in the wake of fears the U.S. central bank has waited too long to begin cutting interest rates. The impact of the Bank of Japan's decision last week to raise rates, as well as increasing geopolitical tensions in the Middle East, have also contributed to the bloodbath in financial markets. ""The law doesn't say anything about the stock market; it's about the employment and it's about price stability,"" Goolsbee said, citing the Fed's dual goals set by Congress, as he noted how prone financial markets are to volatility."
https://www.investing.com/news/economy-news/us-expected-to-propose-barring-chinese-software-in-autonomous-vehicles-3553778,"By David Shepardson WASHINGTON (Reuters) -The U.S. Commerce Department is expected to propose barring Chinese software in autonomous and connected vehicles in the coming weeks, according to sources briefed on the matter. The Biden administration plans to issue a proposed rule that would bar Chinese software in vehicles in the United States with Level 3 automation and above, which would have the effect of also banning testing on U.S. roads of autonomous vehicles produced by Chinese companies. The administration, in plans first reported by Reuters, will also propose barring vehicles with Chinese-developed advanced wireless communications abilities modules from U.S. roads, the sources added. Under the proposal, automakers and suppliers would need to verify that none of their connected vehicle or advanced autonomous vehicle software was developed in a ""foreign entity of concern"" like China, the sources said. The Commerce Department said last month it planned to issue proposed rules on connected vehicles in August and expected to impose limits on some software made in China and other countries deemed adversaries. Asked for a comment, a Commerce Department spokesperson said on Sunday that the department ""is concerned about the national security risks associated with connected technologies in connected vehicles."" The department's Bureau of Industry and Security will issue a proposed rule that ""will focus on specific systems of concern within the vehicle. Industry will also have a chance to review that proposed rule and submit comments."" A spokesperson for the Chinese Embassy in Washington said electric vehicles are a globalized industry. ""Only division of labor and cooperation can bring mutual benefits, and only fair competition can bring technological progress,"" the spokesperson said adding: ""China urges the U.S. to earnestly abide by market principles and international trade rules, and create a level playing field for companies from all countries. China will firmly defend its lawful rights and interests."" On Wednesday, the White House and State Department hosted a meeting with allies and industry leaders to ""jointly address the national security risks associated with connected vehicles,"" the department said. The sources said officials disclosed details of the administration's planned rule at that meeting. The meeting included officials from the United States, Australia, Canada, the European Union, Germany, India, Japan, South Korea, Spain, and the United Kingdom who ""exchanged views on the data and cybersecurity risks associated with connected vehicles and certain components."" Also known as conditional driving automation, Level 3 involves technology that allows drivers to engage in activities behind the wheel, such as watching movies or using smartphones, but only under limited conditions. In November, a group of U.S. lawmakers raised concerns about Chinese companies collecting and handling sensitive data while testing autonomous vehicles in the United States and asked questions of 10 major companies including Baidu (NASDAQ: ), Nio (NYSE: ), WeRide, Didi, Xpeng (NYSE: ), Inceptio, Pony.ai, AutoX, Deeproute.ai and Qcraft. In letters, the group said that in the 12 months ended November 2022 Chinese autonomous vehicle (AV) companies test drove more than 450,000 miles (724,205 km) in California. In July 2023, Transportation Secretary Pete Buttigieg said his department had national security concerns about Chinese AV companies in the United States. The administration is worried about connected vehicles using the driver monitoring system to listen in to or record conversations of occupants or take control of the vehicle itself. ""The national security risks are quite significant,"" Commerce Secretary Gina Raimondo said in May. ""We decided to take action because this is really serious stuff."""
https://www.investing.com/news/economy-news/ethiopia-imports-cooking-oil-after-currency-float-3555242,"ADDIS ABABA (Reuters) - Ethiopia has imported 14 million litres of cooking oil to ensure sufficient supplies of the basic commodity, its trade minister said, after the country's central bank floated the national currency last week to help secure international support. The Ethiopian birr slipped against the dollar last week after the National Bank of Ethiopia adopted a market-determined foreign exchange rate to secure a new International Monetary Fund (IMF) lending programme and to make progress on a long-delayed debt restructuring. It clinched an IMF deal worth $3.4 billion and funding from other creditors including the World Bank shortly after. On Monday, the birr was down 40% against the dollar to trade at 95.69 per greenback, the country's biggest lender Commercial Bank of Ethiopia said, while at some private banks one dollar was being traded for more than 100 birr. Traders in the capital Addis Ababa said the price of cooking oil had gone up by around 25% following the central bank's move. Kassahun Gofe, Ethiopia's minister for Trade and Regional Integration, said on Sunday that businesses which increase prices on basic goods would face temporary closure or see their licenses revoked. The ministry closed more than 2,000 stores for ""unjustified price hikes and hoarding"" after the new exchange rate policy was put in place, it said on Saturday."
https://www.investing.com/news/economy-news/markets-give-off-black-monday-vibes-as-stocks-tank-3555222,"By Amanda Cooper LONDON (Reuters) - Global markets have kicked off the week in full selloff mode, with measures of volatility shooting up by the most on record in a single day, while equity futures and cryptocurrencies plummet, reviving memories of past crises. There is no lone trigger for these moves, but data on Friday that showed the U.S. economy did not generate as many jobs as expected in July has been a major catalyst. A rise in Japanese interest rates on July 31 has made bets on a cheap yen - many of which funded purchases of assets with better returns - less profitable. The unwinding of these trades has accelerated the decline across global stocks. Tokyo's index finished Monday with a 12% loss, the largest one-day drop since the aftermath of ""Black Monday"" in October 1987, when a stock market crash stripped nearly 15% off this index and 20% off the . The excess volatility and the brutal nature of the selloff have prompted a number of comparisons with past market storms, - the 1987 Black Monday stock market crash, the global financial crisis of 2008, and the panic that the onset of COVID-19 lock-downs unleashed in 2020. A VOLATILE SITUATION The , which reflects changes in implied volatility on options on the S&P, is starting to signal distress. The index has shot up by 170% since Friday, set for its biggest one-day rise on record, after February 2018's 115% gain on the back of spiking bond rates and the threat of a surge in inflation. The measure, often referred to as ""Wall Street's fear index"", did not rise that much in a day during the March 2020 COVID crisis - when it posted several 40%-plus daily jumps - or even during the depths of the global financial crisis, when it rose 35% a few days after the U.S. government stepped in to bail out Wall Street. TAKING STOCK The S&P 500 and the are down around 3% and 3.7% in early trading, respectively. Futures on the two indices fell between 4% and 5% before the market open. Monday's drop marks a fairly hefty daily decline for the two indexes. The S&P has already lost 9% since hitting a record high on July 16, while the Nasdaq has shed 14% since its record high on July 11. On Oct. 19, 1987 - the Black Monday - the S&P lost 20% in a day, while the Nasdaq shed 11.5%. During the COVID crisis, the S&P lost 12% at one point, while the tech-heavy Nasdaq fell 12%. So the market is a long way from repeating what it has done during past bouts of turmoil. THE HEART OF THE MATTER The Japanese yen is the star of the currency markets right now. Years of rock-bottom interest rates in Japan encouraged investors to borrow in it in order to fund other positions in a multi-trillion dollar bet known as ""carry trades"". Now that Japanese rates are rising, many of those positions are getting closed, meaning that the cash the carry trades generated to buy other assets is now exiting those markets - the technology sector is one of the standout casualties, along with cryptocurrencies. The yen has its own thing going on, thanks in part to authorities in Tokyo stepping in to prop it up when it hit its weakest in 38 years in late July, at 161 to the dollar. It now trades around 142, having strengthened by over 7% in a week. It has also been a traditional safe-haven asset and strengthened around 7% on a weekly basis in both 2008 and in 1998, at the height of the Asian financial crisis. But the current move is likely more linked to an interest-rate play than down to risk appetite. The Swiss franc, a carry-trade funding currency and also a safe haven, has strengthened 4.2% since last Monday. But this kind of move is not uncommon in the currency. GOLD, OR SILVER LINING? Gold has come under pressure, even if it is perceived to be a safe haven. The price has risen by 16.5% so far this year and hit successive record highs. Typically, a lower U.S. rate environment favours gold, but intense volatility means it can get swept lower along with everything else. Back in 2020, gold had been down by 3% on multiple days, while during the financial crisis, it fell by more than 7% in October 2008, as failed bank Lehman Brothers finally imploded. Silver often moves in synch with gold, but lacks the same safe-haven appeal. It is down 5% on Monday, but, much like stocks and gold, this is a relatively modest decline compared with numerous double-digit down-days in 2020 and a near 16% fall in a single day in October 2008."
